"suburb","MAX price"
"Greensborough","$1,326,000.00"
"Doncaster","$2,600,000.00"
"Highett","$2,585,000.00"
"Narre Warren","$792,500.00"
"Yallambie","$1,670,000.00"
"Airport West","$1,250,000.00"
"Kensington","$1,900,000.00"
"Brighton","$5,800,000.00"
"Moonee Ponds","$2,405,000.00"
"Mount Evelyn","$620,000.00"
"Williamstown","$3,130,000.00"
"Wallan","$366,000.00"
"Huntingdale","$1,205,000.00"
"Hughesdale","$2,190,000.00"
"Carrum","$965,000.00"
"Seddon","$1,870,000.00"
"Coolaroo","$515,000.00"
"Melton South","$465,000.00"
"Knoxfield","$1,218,000.00"
"St Albans","$730,000.00"
"Brighton East","$3,207,000.00"
"Pascoe Vale","$1,663,000.00"
"Carrum Downs","$647,000.00"
"Wonga Park","$900,000.00"
"Forest Hill","$1,372,000.00"
"Templestowe Lower","$2,080,000.00"
"Glen Waverley","$3,056,000.00"
"Seaholme","$2,000,000.00"
"Flemington","$2,268,000.00"
"Oakleigh","$2,525,000.00"
"Caroline Springs","$1,150,000.00"
"Doncaster East","$1,890,000.00"
"Rockbank","$340,000.00"
"South Kingsville","$1,290,000.00"
"Emerald","$655,000.00"
"West Footscray","$1,575,000.00"
"Footscray","$1,450,000.00"
"Hampton Park","$625,000.00"
"Burnley","$1,837,500.00"
"Brunswick East","$1,900,000.00"
"Silvan","$1,085,000.00"
"Vermont","$1,300,000.00"
"Malvern East","$4,802,500.00"
"Sunbury","$778,000.00"
"Caulfield","$1,665,000.00"
"Williamstown North","$1,575,000.00"
"Kealba","$1,095,000.00"
"Point Cook","$801,000.00"
"Clifton Hill","$3,010,000.00"
"Ormond","$2,250,000.00"
"Heidelberg Heights","$1,645,000.00"
"Essendon","$2,800,000.00"
"Berwick","$975,000.00"
"North Melbourne","$2,920,000.00"
"Abbotsford","$1,876,000.00"
"Westmeadows","$821,000.00"
"Viewbank","$1,612,000.00"
"Bundoora","$1,505,000.00"
"Mooroolbark","$930,000.00"
"Mitcham","$1,302,000.00"
"Ardeer","$730,000.00"
"Cheltenham","$1,740,000.00"
"Avondale Heights","$1,600,000.00"
"Ringwood North","$1,283,000.00"
"Williams Landing","$555,000.00"
"Ringwood","$1,725,000.00"
"Coburg North","$2,000,000.00"
"Clarinda","$1,241,000.00"
"Briar Hill","$1,030,000.00"
"Seabrook","$640,000.00"
"Lower Plenty","$1,129,000.00"
