"suburb","MAX category"
"Murrumbeena",9
"Melton",27
"Caulfield East",4
"Toorak",19
"Melbourne",200
"Bacchus Marsh",5
"Hawthorn",70
"Albion",15
"Melton South",2
"Pascoe Vale",4
"Footscray",27
"Caulfield",7
"Reservoir",6
"Ormond",6
"Glen Iris",4
"Kingsville",6
"Carnegie",35
"Epping",5
"Caulfield South",3
"Glen Huntly",9
"Glenroy",1
